group,area,code,population
world,South Sudan,SSD,11.193729
world,Spain,ESP,46.754783
world,Sri Lanka,LKA,21.41325
world,Sudan,SDN,43.849269
world,Suriname,SUR,0.586634
world,Sweden,SWE,10.099269999999999
world,Switzerland,CHE,8.654618
world,Syria,SYR,17.500657
world,Taiwan,TWN,23.816775
world,Tajikistan,TJK,9.537642
world,Tanzania,TZA,59.734213000000004
world,Thailand,THA,69.799978
world,Timor-Leste,TLS,1.3184420000000001
world,Togo,TGO,8.278737
world,Trinidad and Tobago,TTO,1.399491
world,Tunisia,TUN,11.818617999999999
world,Turkey,TUR,84.339067
world,Uganda,UGA,45.74100000000001
world,Ukraine,UKR,43.733759
world,United Arab Emirates,ARE,9.8904
world,United Kingdom,GBR,67.886004
world,Uruguay,URY,3.473727
world,Uzbekistan,UZB,33.469198999999996
world,Venezuela,VEN,28.435942999999998
world,Vietnam,VNM,97.338583
world,West Bank and Gaza,PSE,5.101416
world,Western Sahara,ESH,0.59733
world,Yemen,YEM,29.825968
world,Zambia,ZMB,18.383956
world,Zimbabwe,ZWE,14.862926999999999
world,Australia,AUS,25.4597
world,Canada,CAN,37.855702
world,China,CHN,1404.67633
world,USA,USA,329.46628300000003
world,North Korea,PRK,25.55
usa,Alabama,AL,4.9
usa,Alaska,AK,0.73
usa,Arizona,AZ,7.28
usa,Arkansas,AR,3.02
usa,California,CA,39.51
usa,Colorado,CO,5.76
usa,Connecticut,CT,3.57
usa,Delaware,DE,0.97
usa,Florida,FL,21.48
usa,Georgia,GA,10.62
usa,Hawaii,HI,1.42
usa,Idaho,ID,1.79
usa,Illinois,IL,12.67
usa,Indiana,IN,6.73
usa,Iowa,IA,3.16
usa,Kansas,KS,2.91
usa,Kentucky,KY,4.47
usa,Louisiana,LA,4.65
usa,Maine,ME,1.34
usa,Maryland,MD,6.05
usa,Massachusetts,MA,6.89
usa,Michigan,MI,9.99
usa,Minnesota,MN,5.64
usa,Mississippi,MS,2.98
usa,Missouri,MO,6.63
usa,Montana,MT,1.07
usa,Nebraska,NE,1.93
usa,Nevada,NV,3.08
usa,New Hampshire,NH,1.36
usa,New Jersey,NJ,8.88
usa,New Mexico,NM,2.1
usa,New York,NY,23.63
usa,North Carolina,NC,10.49
usa,North Dakota,ND,0.76
usa,Ohio,OH,11.69
usa,Oklahoma,OK,3.96
usa,Oregon,OR,4.22
usa,Pennsylvania,PA,12.8
usa,Rhode Island,RI,1.06
usa,South Carolina,SC,5.15
usa,South Dakota,SD,0.88
usa,Tennessee,TN,6.83
usa,Texas,TX,29.0
usa,Utah,UT,3.21
usa,Vermont,VT,0.62
usa,Virginia,VA,8.54
usa,Washington,WA,7.61
usa,West Virginia,WV,1.79
usa,Wisconsin,WI,5.82
usa,Wyoming,WY,0.58
usa,District of Columbia,DC,0.71
usa,Puerto Rico,PR,3.194
usa,Guam,GU,0.165
usa,Virgin Islands,VI,0.106
usa,Northern Mariana Islands,MP,0.054000000000000006
usa,American Samoa,AS,0.055
